Pathway,Ratio,Hits,Total
Carbohydrate metabolism,2.8827997751416176e-05,6,357
Energy metabolism,0.0,0,159
Lipid metabolism,1.7458176755310557e-05,4,393
Nucleotide metabolism,1.1066231394898467e-05,1,155
Amino acid metabolism,4.7481408061156054e-05,8,289
Metabolism of other amino acids,1.4536151408553072e-05,1,118
Glycan biosynthesis and metabolism,3.444308968291692e-05,5,249
Metabolism of cofactors and vitamins,3.147276818732592e-05,4,218
Metabolism of terpenoids and polyketides,0.0,0,26
Biosynthesis of other secondary metabolites,0.0,0,17
Xenobiotics biodegradation and metabolism,0.0,0,123
Not included in regular maps,0.0,0,1
Transcription,2.4503798088703752e-05,3,210
Translation,1.3667457101269023e-05,4,502
Folding,1.8325490023603232e-05,5,468
Replication and repair,6.089701300151228e-05,6,169
Membrane transport,0.0,0,45
Signal transduction,5.2687347426223084e-05,54,1758
Signaling molecules and interaction,7.395158225572868e-05,36,835
Transport and catabolism,2.3757144961347125e-05,10,722
Cell growth and death,2.014574003937053e-05,7,596
Cellular community - eukaryotes,3.66248939404113e-05,12,562
Cell motility,4.007630528526314e-05,5,214
Immune system,3.8339275921101105e-05,23,1029
Endocrine system,4.650937815101037e-05,25,922
Circulatory system,4.463517123964623e-05,7,269
Digestive system,3.632327716678438e-05,9,425
Excretory system,5.7175528873642086e-05,5,150
Nervous system,4.4885461919494714e-05,14,535
Sensory system,9.714288886298411e-05,35,618
Development,4.11193872036467e-05,7,292
Aging,8.408166010829718e-05,5,102
Environmental adaptation,3.627450472345872e-05,7,331
Cancers: Overview,4.044122773989318e-05,29,1230
Cancers: Specific types,6.339791702621504e-05,18,487
Immune diseases,3.775742472787684e-05,7,318
Neurodegenerative diseases,4.831734834392289e-06,1,355
Substance dependence,3.0412515358320258e-05,5,282
Cardiovascular diseases,2.3740704030578027e-05,4,289
Endocrine and metabolic diseases,4.495656504177502e-05,13,496
Infectious diseases: Bacterial,2.135185725571696e-05,6,482
Infectious diseases: Viral,4.1703081313755856e-05,23,946
Infectious diseases: Parasitic,6.714563889075404e-05,11,281
Drug resistance: Antineoplastic,5.4329688069976634e-05,7,221
Protein families: metabolism,4.754843776966128e-05,54,1948
Protein families: genetic information processing,4.561732871982842e-05,168,6317
Protein families: signaling and cellular processes,6.430310157875737e-05,166,4428
RNA family,0.0,0,314
