Pathway,Ratio,Hits,Total
Carbohydrate metabolism,1.5100379774551331e-05,6,357
Energy metabolism,2.260308419083784e-05,4,159
Lipid metabolism,3.886522682432232e-05,17,393
Nucleotide metabolism,6.955916876793322e-05,12,155
Amino acid metabolism,2.7980115464609817e-05,9,289
Metabolism of other amino acids,2.284252364201197e-05,3,118
Glycan biosynthesis and metabolism,5.051653153494481e-05,14,249
Metabolism of cofactors and vitamins,2.06071696464634e-05,5,218
Metabolism of terpenoids and polyketides,3.455663833022324e-05,1,26
Biosynthesis of other secondary metabolites,0.0,0,17
Xenobiotics biodegradation and metabolism,2.191396577038547e-05,3,123
Not included in regular maps,0.0,0,1
Transcription,3.850596842510589e-05,9,210
Translation,3.22161488815627e-05,18,502
Folding,4.799533101419894e-05,25,468
Replication and repair,6.379687076348905e-05,12,169
Membrane transport,7.986423080762703e-05,4,45
Signal transduction,4.139720154917528e-05,81,1758
Signaling molecules and interaction,5.3800754286575094e-05,50,835
Transport and catabolism,4.2310343883542024e-05,34,722
Cell growth and death,4.6732635057315314e-05,31,596
Cellular community - eukaryotes,4.9559876324127986e-05,31,562
Cell motility,5.038164093004509e-05,12,214
Immune system,5.762797995594079e-05,66,1029
Endocrine system,4.0928252772889126e-05,42,922
Circulatory system,4.3420608756934775e-05,13,269
Digestive system,4.439511653718091e-05,21,425
Excretory system,2.994908655286014e-05,5,150
Nervous system,3.190837258902856e-05,19,535
Sensory system,3.92536571323895e-05,27,618
Development,4.615441420817487e-05,15,292
Aging,4.404277434244138e-05,5,102
Environmental adaptation,3.2573024649636405e-05,12,331
Cancers: Overview,3.2140483129898684e-05,44,1230
Cancers: Specific types,3.50533456573517e-05,19,487
Immune diseases,3.390462628625676e-05,12,318
Neurodegenerative diseases,4.8087265732761346e-05,19,355
Substance dependence,3.504680341292144e-05,11,282
Cardiovascular diseases,5.2851329210929655e-05,17,289
Endocrine and metabolic diseases,2.5360113613308988e-05,14,496
Infectious diseases: Bacterial,4.473722472626411e-05,24,482
Infectious diseases: Viral,3.9889903865331685e-05,42,946
Infectious diseases: Parasitic,4.156634788475251e-05,13,281
