Pathway,Ratio,Hits,Total
Carbohydrate metabolism,4.279168314724734e-05,37,357
Energy metabolism,2.077393286903593e-05,8,159
Lipid metabolism,4.097301454226839e-05,39,393
Nucleotide metabolism,3.729256013425322e-05,14,155
Amino acid metabolism,3.857374299600833e-05,27,289
Metabolism of other amino acids,6.648098643787877e-05,19,118
Glycan biosynthesis and metabolism,2.984688547750042e-05,18,249
Metabolism of cofactors and vitamins,5.4924658520140305e-05,29,218
Metabolism of terpenoids and polyketides,0.0,0,26
Biosynthesis of other secondary metabolites,9.714868606402098e-05,4,17
Xenobiotics biodegradation and metabolism,7.38487979429753e-05,22,123
Not included in regular maps,0.0,0,1
Transcription,1.3762730525736305e-05,7,210
Translation,3.125400956043703e-05,38,502
Folding,3.88179578931024e-05,44,468
Replication and repair,6.5963382993174e-05,27,169
Membrane transport,4.587576841912102e-05,5,45
Signal transduction,4.3918611063356465e-05,187,1758
Signaling molecules and interaction,6.0325261945143564e-05,122,835
Transport and catabolism,4.174567846449101e-05,73,722
Cell growth and death,4.5721822887513235e-05,66,596
Cellular community - eukaryotes,4.5549250494429765e-05,62,562
Cell motility,6.173935189115352e-05,32,214
Immune system,6.379808027965226e-05,159,1029
Endocrine system,3.851176220867643e-05,86,922
Circulatory system,4.911606432976525e-05,32,269
Digestive system,6.703259338417448e-05,69,425
Excretory system,5.505092210294522e-05,20,150
Nervous system,3.935883683061037e-05,51,535
Sensory system,5.2779403472483895e-05,79,618
Development,4.2419374908091356e-05,30,292
Aging,4.0478619193342075e-05,10,102
Environmental adaptation,2.868967994790952e-05,23,331
Cancers: Overview,4.296657334864017e-05,128,1230
Cancers: Specific types,4.832498808831434e-05,57,487
Immune diseases,4.284623654238661e-05,33,318
Neurodegenerative diseases,3.2565334201742246e-05,28,355
Substance dependence,3.074652564260238e-05,21,282
Cardiovascular diseases,5.857494306801265e-05,41,289
Endocrine and metabolic diseases,3.496177512586239e-05,42,496
Infectious diseases: Bacterial,4.882628464524706e-05,57,482
Infectious diseases: Viral,5.062822645831115e-05,116,946
Infectious diseases: Parasitic,7.199720239442125e-05,49,281
Drug resistance: Antineoplastic,5.4179074920319397e-05,29,221
Protein families: metabolism,4.747718127974742e-05,224,1948
Protein families: genetic information processing,4.300717121703889e-05,658,6317
Protein families: signaling and cellular processes,5.016496627944534e-05,538,4428
RNA family,0.0,0,314
Unclassified: metabolism,5.945499587118084e-05,36,250
Unclassified: genetic information processing,2.9491565412292083e-05,3,42
Unclassified: signaling and cellular processes,6.73177036584928e-05,45,276
Glycolysis / Gluconeogenesis,2.9918979403774577e-05,5,69
Citrate cycle (TCA cycle),2.663754295303801e-05,2,31
Pentose phosphate pathway,5.505092210294522e-05,4,30
Pentose and glucuronate interconversions,2.4287171516005245e-05,2,34
Fructose and mannose metabolism,3.753471961564447e-05,3,33
Galactose metabolism,3.995631442955702e-05,3,31
Ascorbate and aldarate metabolism,1.5291922806373674e-05,1,27
Starch and sucrose metabolism,3.4406826314340766e-05,3,36
Amino sugar and nucleotide sugar metabolism,5.1610239471511145e-05,6,48
Pyruvate metabolism,2.064409578860446e-05,2,40
Glyoxylate and dicarboxylate metabolism,4.128819157720892e-05,3,30
Propanoate metabolism,7.741535920726672e-05,6,32
Butanoate metabolism,4.4237348118438125e-05,3,28
C5-Branched dibasic acid metabolism,0.0,0,1
Inositol phosphate metabolism,6.137433883098623e-05,11,74
Oxidative phosphorylation,1.552187653278531e-05,5,133
Nitrogen metabolism,4.857434303201049e-05,2,17
Sulfur metabolism,4.587576841912102e-05,1,9
Fatty acid biosynthesis,6.352029473416756e-05,2,13
