Pathway,Ratio,Hits,Total
Carbohydrate metabolism,4.796439123594643e-05,40,357
Energy metabolism,3.5000430774532605e-05,13,159
Lipid metabolism,5.446338317822161e-05,50,393
Nucleotide metabolism,2.4856385329209015e-05,9,155
Amino acid metabolism,6.221263686780111e-05,42,289
Metabolism of other amino acids,3.2650336661249125e-05,9,118
Glycan biosynthesis and metabolism,4.298013973703031e-05,25,249
Metabolism of cofactors and vitamins,3.141887646097775e-05,16,218
Metabolism of terpenoids and polyketides,3.292939936775553e-05,2,26
Biosynthesis of other secondary metabolites,7.554391619661562e-05,3,17
Xenobiotics biodegradation and metabolism,3.132308720347477e-05,9,123
Not included in regular maps,0.0,0,1
Transcription,3.669275929549902e-05,18,210
Translation,3.411013480325274e-05,40,502
Folding,4.664998243765367e-05,51,468
Replication and repair,7.599092161789738e-05,30,169
Membrane transport,0.00011415525114155251,12,45
Signal transduction,5.624970779372575e-05,231,1758
Signaling molecules and interaction,7.587564596833731e-05,148,835
Transport and catabolism,6.522027852616401e-05,110,722
Cell growth and death,4.884159235083203e-05,68,596
Cellular community - eukaryotes,5.560498220640569e-05,73,562
Cell motility,6.201190628600691e-05,31,214
Immune system,7.155504080301396e-05,172,1029
Endocrine system,5.38584970136392e-05,116,922
Circulatory system,3.660182308906655e-05,23,269
Digestive system,7.957292506043514e-05,79,425
Excretory system,6.84931506849315e-05,24,150
Nervous system,5.040967865830239e-05,63,535
Sensory system,2.9785654120672077e-05,43,618
Development,5.5709326327641204e-05,38,292
Aging,4.1968842331453125e-05,10,102
Environmental adaptation,2.4572693788023008e-05,19,331
Cancers: Overview,4.733266510747299e-05,136,1230
Cancers: Specific types,5.274113245759613e-05,60,487
Immune diseases,7.403937279228053e-05,55,318
Neurodegenerative diseases,5.064634381632259e-05,42,355
Substance dependence,3.187846109006121e-05,21,282
Cardiovascular diseases,6.665639664407261e-05,45,289
Endocrine and metabolic diseases,6.214096332302253e-05,72,496
Infectious diseases: Bacterial,6.927471153299608e-05,78,482
Infectious diseases: Viral,5.927988068000811e-05,131,946
Infectious diseases: Parasitic,8.378832935211817e-05,55,281
Drug resistance: Antineoplastic,5.423665778218558e-05,28,221
Protein families: metabolism,5.955352873336897e-05,271,1948
Protein families: genetic information processing,4.669125061532156e-05,689,6317
Protein families: signaling and cellular processes,5.549213597158803e-05,574,4428
RNA family,0.0,0,314
Unclassified: metabolism,5.47945205479452e-05,32,250
Unclassified: genetic information processing,6.11545988258317e-05,6,42
Unclassified: signaling and cellular processes,4.9632717887631524e-05,32,276
Glycolysis / Gluconeogenesis,4.342862815167758e-05,7,69
Citrate cycle (TCA cycle),5.5236411842686694e-05,4,31
Pentose phosphate pathway,1.4269406392694063e-05,1,30
Pentose and glucuronate interconversions,2.5181305398871877e-05,2,34
Fructose and mannose metabolism,5.1888750518887505e-05,4,33
Galactose metabolism,5.5236411842686694e-05,4,31
Ascorbate and aldarate metabolism,0.0,0,27
Starch and sucrose metabolism,4.756468797564688e-05,4,36
Amino sugar and nucleotide sugar metabolism,5.351027397260274e-05,6,48
Pyruvate metabolism,8.561643835616438e-05,8,40
Glyoxylate and dicarboxylate metabolism,4.280821917808219e-05,3,30
Propanoate metabolism,9.364297945205479e-05,7,32
Butanoate metabolism,1.5288649706457925e-05,1,28
