Pathway,Ratio,Hits,Total
Carbohydrate metabolism,4.492852045198092e-05,26,357
Energy metabolism,1.9399470006479423e-05,5,159
Lipid metabolism,4.709184322183555e-05,30,393
Nucleotide metabolism,3.582018268293168e-05,9,155
Amino acid metabolism,2.9884581477109478e-05,14,289
Metabolism of other amino acids,3.65959493512061e-05,7,118
Glycan biosynthesis and metabolism,5.698302153710462e-05,23,249
Metabolism of cofactors and vitamins,2.2638647567194338e-05,8,218
Metabolism of terpenoids and polyketides,0.0,0,26
Biosynthesis of other secondary metabolites,0.0,0,17
Xenobiotics biodegradation and metabolism,2.006189093352994e-05,4,123
Not included in regular maps,0.0,0,1
Transcription,2.3501072236420788e-05,8,210
Translation,2.9493377507858754e-05,24,502
Folding,4.7454088169695825e-05,36,468
Replication and repair,4.3803773695103834e-05,12,169
Membrane transport,5.483583521831517e-05,4,45
Signal transduction,6.281323274794208e-05,179,1758
Signaling molecules and interaction,8.64403210851585e-05,117,835
Transport and catabolism,5.810168136012618e-05,68,722
Cell growth and death,5.485883682704769e-05,53,596
Cellular community - eukaryotes,5.159154425566574e-05,47,562
Cell motility,4.612359971633986e-05,16,214
Immune system,8.153433224880682e-05,136,1029
Endocrine system,4.683646446249805e-05,70,922
Circulatory system,4.81597251685017e-05,21,269
Digestive system,6.241608302790579e-05,43,425
Excretory system,3.2901501130989105e-05,8,150
Nervous system,3.689887977307189e-05,32,535
Sensory system,1.7968052802117836e-05,18,618
Development,6.126777821909357e-05,29,292
Aging,4.2336490425905096e-05,7,102
Environmental adaptation,2.6092580202068397e-05,14,331
Cancers: Overview,4.212997096041287e-05,84,1230
Cancers: Specific types,4.560269663946128e-05,36,487
Immune diseases,7.371798602462181e-05,38,318
Neurodegenerative diseases,3.3017351487084134e-05,19,355
Substance dependence,2.6251197710895558e-05,12,282
Cardiovascular diseases,6.403838887952031e-05,30,289
Endocrine and metabolic diseases,5.4725279098923404e-05,44,496
Infectious diseases: Bacterial,6.271422025746107e-05,49,482
